location,total_sqft,bath,price,bhk,property_type,amenities_score
other,950.0,2.0,4700000.0,2,Apartment,6
other,2000.0,4.0,12000000.0,4,Apartment,6
Sarjapur  Road,1863.0,3.0,10400000.0,4,Apartment,8
Singasandra,1010.0,2.0,2950000.0,2,Apartment,8
Kalena Agrahara,1425.0,2.0,7000000.0,3,Apartment,7
Vijayanagar,1450.0,3.0,10000000.0,3,Apartment,5
Kothanur,1847.0,3.0,10500000.0,3,Apartment,7
AECS Layout,1100.0,2.0,4500000.0,2,Apartment,9
Kanakpura Road,525.0,1.0,2600000.0,1,Apartment,6
Mallasandra,1665.0,3.0,9500000.0,3,Apartment,8
Begur,1664.0,4.0,6500000.0,4,Apartment,5
JP Nagar,1850.0,3.0,15000000.0,3,Apartment,5
Panathur,1438.0,2.0,10000000.0,2,Apartment,9
other,1560.0,3.0,11500000.0,3,Apartment,7
Yelahanka,1350.0,2.0,5555000.0,2,Apartment,8
Kanakpura Road,1550.0,3.0,6700000.0,3,Apartment,8
Malleshpalya,1140.0,2.0,4650000.0,2,Apartment,7
other,850.0,2.0,2700000.0,2,Apartment,5
Whitefield,1280.0,2.0,7500000.0,2,Apartment,7
Munnekollal,1170.0,2.0,5200000.0,2,Apartment,8
other,1113.0,2.0,5100000.0,2,Apartment,7
Hennur Road,1385.0,2.0,8309000.0,2,Apartment,5
Electronic City,1128.0,2.0,6500000.0,2,Apartment,8
Marathahalli,1200.0,2.0,12800000.0,2,Apartment,6
other,1200.0,4.0,16500000.0,4,Apartment,7
Rajaji Nagar,2390.0,3.0,41500000.0,3,Apartment,9
Giri Nagar,2400.0,4.0,40000000.0,4,Villa,8
Haralur Road,1464.0,3.0,5600000.0,3,Apartment,5
other,1200.0,2.0,5500000.0,2,Apartment,9
Kaval Byrasandra,1200.0,2.0,5200000.0,2,Apartment,8
Kaggalipura,1150.0,2.0,5500000.0,3,Apartment,5
other,1645.0,3.0,9500000.0,3,Apartment,7
Sarjapur  Road,1000.0,2.0,6700000.0,2,Apartment,6
Haralur Road,2650.0,4.0,19800000.0,4,Villa,8
6th Phase JP Nagar,1192.0,2.0,7400000.0,2,Apartment,7
Ulsoor,2135.0,3.0,21500000.0,3,Apartment,6
Whitefield,1173.0,2.0,5800000.0,2,Apartment,8
Uttarahalli,1020.0,2.0,4500000.0,2,Apartment,7
Somasundara Palya,1600.0,3.0,6400000.0,3,Apartment,7
other,1200.0,2.0,7900000.0,2,Apartment,9
other,1230.0,2.0,4800000.0,2,Apartment,5
Devarachikkanahalli,1250.0,2.0,4000000.0,2,Apartment,5
Kalena Agrahara,1325.0,2.0,7600000.0,2,Apartment,9
7th Phase JP Nagar,1850.0,3.0,15000000.0,3,Apartment,9
Basaveshwara Nagar,1200.0,2.0,6500000.0,2,Apartment,7
other,1350.0,2.0,14000000.0,3,Apartment,9
Bommasandra,1260.0,3.0,4936000.0,3,Apartment,8
other,1800.0,3.0,15000000.0,3,Apartment,5
Ardendale,1100.0,2.0,4325000.0,2,Apartment,9
Harlur,1508.0,2.0,7700000.0,2,Apartment,8
other,1592.0,3.0,7500000.0,3,Apartment,6
Akshaya Nagar,1388.0,2.0,5700000.0,2,Apartment,6
Electronic City Phase II,630.0,1.0,2835000.0,1,Apartment,5
other,2000.0,3.0,36500000.0,3,Apartment,9
other,1762.0,3.0,12500000.0,3,Apartment,6
other,950.0,2.0,5000000.0,2,Apartment,5
Kodihalli,3252.0,5.0,33500000.0,4,Villa,8
Magadi Road,1116.0,2.0,5000000.0,2,Apartment,5
Narayanapura,1308.0,2.0,8904000.0,2,Apartment,5
other,1200.0,3.0,9000000.0,3,Apartment,8
other,1500.0,4.0,23000000.0,4,Apartment,9
Bannerghatta Road,500.0,1.0,1850000.0,1,Apartment,6
Hennur,1075.0,2.0,5200000.0,2,Apartment,6
Chandapura,530.0,1.0,1166000.0,1,Apartment,9
Bellandur,1205.0,2.0,6600000.0,2,Apartment,7
5th Phase JP Nagar,1075.0,2.0,6000000.0,2,Apartment,9
KR Puram,930.0,2.0,3900000.0,2,Apartment,8
Balagere,1380.0,2.0,6000000.0,2,Apartment,8
Hebbal,2483.0,5.0,21200000.0,4,Villa,7
Kodigehaali,1166.0,2.0,5500000.0,2,Apartment,8
Bannerghatta Road,1050.0,2.0,6500000.0,2,Apartment,7
other,2023.71,3.0,27500000.0,3,Apartment,5
Begur Road,1200.0,2.0,4680000.0,2,Apartment,5
Lakshminarayana Pura,1600.0,2.0,10800000.0,3,Apartment,5
Billekahalli,1935.0,3.0,11000000.0,3,Apartment,9
8th Phase JP Nagar,451.0,1.0,2990000.0,1,Apartment,6
Electronic City,1800.0,3.0,9500000.0,3,Apartment,6
Jalahalli,1400.0,3.0,7700000.0,3,Apartment,9
Hegde Nagar,1801.0,3.0,11500000.0,3,Apartment,9
Mahadevpura,1451.0,2.0,9000000.0,2,Apartment,8
Anekal,1200.0,1.0,3600000.0,2,Apartment,5
Begur Road,1160.0,2.0,4400000.0,2,Apartment,6
Kengeri,1000.0,2.0,2500000.0,2,Apartment,6
Kanakpura Road,950.0,2.0,4000000.0,2,Apartment,7
other,1629.0,3.0,7900000.0,3,Apartment,5
Vijayanagar,1580.0,2.0,13400000.0,3,Apartment,7
Vijayanagar,1826.0,3.0,12100000.0,3,Apartment,6
7th Phase JP Nagar,1245.0,2.0,9400000.0,2,Apartment,9
Raja Rajeshwari Nagar,1145.0,2.0,4579000.0,2,Apartment,8
Sompura,825.0,2.0,3300000.0,2,Apartment,8
Yeshwanthpur,1693.0,3.0,10800000.0,3,Apartment,6
Electronics City Phase 1,1113.27,2.0,5300000.0,2,Apartment,7
other,1460.0,2.0,5800000.0,2,Apartment,9
Doddathoguru,1050.0,2.0,3200000.0,2,Apartment,8
Dodda Nekkundi,1260.0,2.0,5500000.0,2,Apartment,7
Hosur Road,1656.0,2.0,12000000.0,2,Apartment,9
Chandapura,1208.0,3.0,4500000.0,3,Apartment,9
Whitefield,1910.0,3.0,16100000.0,3,Apartment,8
Whitefield,3252.0,4.0,23000000.0,4,Villa,8
Battarahalli,1200.0,2.0,6500000.0,2,Apartment,5
other,1200.0,4.0,17500000.0,4,Apartment,6
7th Phase JP Nagar,1175.0,2.0,8200000.0,2,Apartment,8
other,1000.0,2.0,16500000.0,2,Apartment,9
Bannerghatta Road,1200.0,2.0,12500000.0,4,Apartment,9
Rajaji Nagar,2390.0,3.0,41000000.0,3,Apartment,7
Rajaji Nagar,12000.0,6.0,220000000.0,7,Villa,8
other,1185.0,2.0,3800000.0,2,Apartment,6
Kengeri,750.0,2.0,3800000.0,2,Apartment,9
Kanakpura Road,1550.0,3.0,6450000.0,3,Apartment,8
other,1760.0,3.0,8800000.0,3,Apartment,6
Billekahalli,1125.0,2.0,6200000.0,2,Apartment,8
Nagarbhavi,1350.0,3.0,15000000.0,3,Apartment,7
Anandapura,1000.0,2.0,5500000.0,2,Apartment,7
Bommasandra Industrial Area,1090.0,2.0,3148000.0,2,Apartment,5
TC Palaya,1200.0,2.0,6000000.0,2,Apartment,5
Budigere,1991.0,4.0,10300000.0,3,Apartment,9
Bommasandra,1060.0,2.0,2650000.0,2,Apartment,8
Ambalipura,1105.0,2.0,7500000.0,2,Apartment,6
Hoodi,985.0,2.0,6700000.0,2,Apartment,8
Balagere,1590.0,3.0,7900000.0,3,Apartment,9
CV Raman Nagar,1120.0,2.0,5500000.0,2,Apartment,7
other,1069.0,2.0,5500000.0,2,Apartment,6
Marathahalli,1933.0,3.0,14000000.0,3,Apartment,5
Hosur Road,1194.0,2.0,6900000.0,2,Apartment,5
Brookefield,1150.0,2.0,6900000.0,2,Apartment,8
Yelenahalli,1240.0,2.0,4712000.0,2,Apartment,8
Raja Rajeshwari Nagar,1419.0,2.0,4810000.0,2,Apartment,8
other,2150.0,4.0,24000000.0,3,Apartment,8
other,1450.0,3.0,5500000.0,3,Apartment,5
other,1630.0,3.0,6829000.000000001,3,Apartment,7
Dasanapura,708.0,1.0,4000000.0,2,Apartment,9
Kasavanhalli,1000.0,4.0,11000000.0,3,Apartment,9
Whitefield,11890.0,4.0,70000000.0,4,Villa,7
Bellandur,1250.0,2.0,7600000.0,2,Apartment,5
7th Phase JP Nagar,1400.0,2.0,9500000.0,3,Apartment,5
Sarjapur  Road,1670.0,2.0,5700000.0,3,Apartment,6
Ardendale,1750.0,3.0,10000000.0,3,Apartment,7
Vittasandra,1404.0,2.0,7100000.0,2,Apartment,5
Hoodi,1715.0,2.0,9500000.0,3,Apartment,9
Electronic City,630.0,1.0,3465000.0,1,Apartment,6
Harlur,1752.12,3.0,13500000.0,3,Apartment,7
Hulimavu,1650.0,3.0,7800000.0,3,Apartment,7
Raja Rajeshwari Nagar,1295.0,2.0,5547000.0,2,Apartment,9
Giri Nagar,1800.0,3.0,25200000.0,3,Apartment,6
Sarjapur  Road,1346.0,2.0,7403000.0,2,Apartment,7
other,1200.0,4.0,20000000.0,4,Apartment,9
Hormavu,1150.0,2.0,5500000.0,2,Apartment,8
other,3309.0,4.0,32500000.0,4,Villa,7
Chandapura,1190.0,2.0,3035000.0,3,Apartment,9
AECS Layout,1620.0,3.0,9800000.0,3,Apartment,9
Marathahalli,950.0,2.0,4696000.0,2,Apartment,8
other,5000.0,9.0,36000000.0,11,Villa,7
Harlur,2450.0,3.0,12000000.0,3,Apartment,9
Electronic City Phase II,1220.0,2.0,3522999.9999999995,3,Apartment,8
other,850.0,2.0,3000000.0,2,Apartment,7
Padmanabhanagar,1020.0,2.0,6300000.0,2,Apartment,9
Chikkalasandra,1100.0,2.0,5000000.0,2,Apartment,7
other,1150.0,2.0,12600000.0,2,Apartment,6
Hebbal,1760.0,2.0,13000000.0,3,Apartment,5
Ambalipura,1800.0,3.0,11000000.0,3,Apartment,9
Akshaya Nagar,1070.0,2.0,5400000.0,2,Apartment,9
2nd Stage Nagarbhavi,1500.0,4.0,22000000.0,4,Apartment,9
Vidyaranyapura,1440.0,2.0,9500000.0,2,Apartment,8
Amruthahalli,900.0,2.0,4000000.0,2,Apartment,5
other,1200.0,4.0,23000000.0,4,Apartment,6
Whitefield,1130.0,2.0,4216000.0,2,Apartment,5
Koramangala,1320.0,2.0,16500000.0,2,Apartment,7
Kodigehalli,1270.0,2.0,9800000.0,2,Apartment,7
other,1200.0,2.0,6200000.0,2,Apartment,6
other,4800.0,4.0,23500000.0,4,Villa,8
other,1200.0,2.0,7400000.0,2,Apartment,6
Subramanyapura,929.0,2.0,5017000.0,2,Apartment,5
other,1464.0,3.0,5600000.0,3,Apartment,7
7th Phase JP Nagar,3600.0,4.0,40000000.0,4,Villa,7
other,2000.0,4.0,9900000.0,4,Apartment,5
Chikkalasandra,1208.0,2.0,4900000.0,2,Apartment,8
Hebbal Kempapura,1130.0,2.0,6000000.0,2,Apartment,5
other,1753.0,3.0,12000000.0,3,Apartment,9
Hoodi,1196.0,2.0,9442000.0,2,Apartment,9
5th Phase JP Nagar,1150.0,3.0,5250000.0,2,Apartment,5
